iter	Logloss
0	0.6931046936
1	0.6930838903
2	0.6930452844
3	0.6930000436
4	0.6929565137
5	0.6929310987
6	0.692900405
7	0.6928653099
8	0.6928333483
9	0.6928032457
10	0.6927613405
11	0.6927057566
12	0.6926490561
13	0.6926004347
14	0.6925726185
15	0.6925365051
16	0.6925010465
17	0.6924504736
18	0.6924175163
19	0.6923695977
20	0.6923372055
21	0.6922963739
22	0.692258758
23	0.6922277638
24	0.6921895619
25	0.69215405
26	0.6921134642
27	0.6920651269
28	0.6920346629
29	0.6920130382
30	0.6919773289
31	0.6919355414
32	0.6918923433
33	0.6918333548
34	0.691783844
35	0.6917443089
36	0.6917164408
37	0.6916766711
38	0.6916288507
39	0.6915944665
40	0.6915522189
41	0.6915218678
42	0.6914754117
43	0.6914505014
44	0.6914036693
45	0.6913685965
46	0.6913449326
47	0.6913142793
48	0.6912766835
49	0.6912477082
50	0.6912099195
51	0.6911781918
52	0.691130445
53	0.6910971392
54	0.6910598387
55	0.6910290743
56	0.6909732358
57	0.6909370857
58	0.6908989332
59	0.6908766641
60	0.690843707
61	0.6907891974
62	0.6907499256
63	0.6907047303
64	0.6906780342
65	0.6906267079
66	0.6905963708
67	0.6905603281
68	0.6905246587
69	0.6904756379
70	0.69042794
71	0.6903987116
72	0.69036758
73	0.6903244653
74	0.6902877463
75	0.6902589593
76	0.6902175686
77	0.6901834883
78	0.6901469801
79	0.6900966334
80	0.6900632661
81	0.6900250018
82	0.6899893869
83	0.6899535414
84	0.6899229596
85	0.6898932105
86	0.6898585396
87	0.6898223323
88	0.6897811718
89	0.6897531926
90	0.6897129657
91	0.6896754211
92	0.6896339499
93	0.6896090663
94	0.6895719505
95	0.6895377018
96	0.6895084457
97	0.6894753178
98	0.6894474203
99	0.6894224359
100	0.6893880735
101	0.6893633647
102	0.689329194
103	0.6892888956
104	0.6892439346
105	0.6892145292
106	0.6891726769
107	0.6891411416
108	0.6890982529
109	0.689072756
110	0.6890401871
111	0.6890056949
112	0.6889742153
113	0.6889424739
114	0.6889162083
