iter	Passed	Remaining
0	0	703
1	1	593
2	1	551
3	2	525
4	2	510
5	3	503
6	3	498
7	4	497
8	4	490
9	4	494
10	5	496
11	6	498
12	6	495
13	6	489
14	7	485
15	8	494
16	8	491
17	8	487
18	9	487
19	9	487
20	10	487
21	10	485
22	11	484
23	11	483
24	12	482
25	12	484
26	13	485
27	13	485
28	14	483
29	14	483
30	15	482
31	15	480
32	16	478
33	16	478
34	17	485
35	18	484
36	18	482
37	19	485
38	19	486
39	20	485
40	20	484
41	21	486
42	21	485
43	22	484
44	22	483
45	23	483
46	23	483
47	24	482
48	24	480
49	25	479
50	25	480
51	26	480
52	26	481
53	27	482
54	28	482
55	28	482
56	29	483
57	29	482
58	30	482
59	30	483
60	31	483
61	31	483
62	32	484
63	33	484
64	33	484
65	34	484
66	34	485
67	35	484
68	35	483
69	36	483
70	36	483
71	37	484
72	38	484
73	38	483
74	39	484
75	39	484
76	40	485
77	41	485
78	41	484
79	42	483
80	42	482
81	43	482
82	43	481
83	44	480
84	44	480
85	45	479
86	45	478
87	46	478
88	46	477
89	47	476
90	47	476
91	48	476
92	48	476
93	49	476
94	50	476
95	50	477
96	51	479
97	52	479
98	52	478
99	53	478
100	53	477
101	54	476
102	54	476
103	55	476
104	55	475
105	56	474
106	56	474
107	57	473
108	57	473
109	58	474
110	59	474
111	59	474
112	60	473
113	60	472
114	61	471
115	61	471
116	62	470
117	62	469
118	63	468
119	63	468
120	64	467
121	64	467
122	65	466
123	65	466
124	66	465
125	67	464
126	67	464
127	68	464
128	68	465
129	69	464
130	69	463
131	70	463
132	71	463
133	71	462
134	72	462
135	72	461
136	73	460
137	73	459
138	74	459
139	74	459
140	75	458
141	75	458
142	76	457
143	76	456
144	77	456
145	77	456
146	78	456
147	79	456
148	79	455
149	80	455
150	80	455
151	81	454
152	81	453
153	82	453
154	82	452
155	83	451
156	83	450
157	84	450
158	85	450
159	85	449
160	86	448
161	86	448
162	87	448
163	87	447
164	88	446
165	88	445
166	89	445
167	89	444
168	90	443
169	90	443
170	91	442
171	91	442
172	92	441
173	92	440
174	93	440
175	93	439
176	94	439
177	95	438
178	95	438
179	96	437
180	96	437
181	97	437
182	97	436
183	98	436
184	98	435
185	99	435
186	100	435
187	100	434
188	101	434
189	101	433
190	102	433
191	102	433
192	103	432
193	104	432
194	104	433
195	105	432
196	105	431
197	106	431
198	107	430
199	107	430
200	108	429
201	108	429
202	109	429
203	109	428
204	110	427
205	110	427
206	111	427
207	112	426
208	112	425
209	113	425
210	113	424
211	114	424
212	114	423
213	115	423
214	115	422
215	116	422
216	116	421
217	117	421
218	117	420
219	118	420
220	119	419
221	119	419
222	120	418
223	120	418
224	121	418
225	121	417
226	122	416
227	122	416
228	123	415
229	124	415
230	124	414
231	125	414
232	125	413
233	126	413
234	126	412
235	127	412
236	127	411
